ph,temperature,turbidity,fish
7.7,22.0,6.0,2.0
7.9,29.0,5.5,2.0
8.9,27.0,7.5,2.0
8.8,30.0,6.8,2.0
8.4,25.0,5.0,2.0
6.1,31.0,4.9,2.0
8.5,30.0,3.0,1.0
7.4,29.0,3.7,1.0
7.8,25.0,3.9,1.0
8.0,27.0,3.8,1.0
6.5,21.0,5.0,0.0
5.9,25.0,5.5,0.0
5.6,27.0,6.8,0.0
7.1,28.0,6.1,0.0
6.8,27.0,7.2,0.0
8.6,31.0,3.3,1.0
8.5,31.0,3.5,1.0
8.6,31.0,3.0,1.0
7.1,28.0,6.1,0.0
7.4,30.0,6.2,1.0
7.8,28.0,6.0,1.0
8.2,30.0,6.8,1.0
7.6,31.0,6.7,1.0
7.8,27.0,5.7,1.0
8.0,28.0,5.9,1.0
6.1,24.0,3.0,0.0
6.2,25.0,4.0,0.0
6.3,26.0,3.5,0.0
6.4,24.0,4.1,0.0
6.5,26.0,4.2,0.0
6.6,26.0,4.3,0.0
6.7,25.0,4.5,0.0
6.8,26.0,3.1,0.0
7.0,25.0,3.2,0.0
7.5,24.0,3.3,0.0
7.8,25.0,3.4,0.0
7.9,26.0,3.5,0.0
8.0,26.0,3.6,0.0
8.2,24.0,3.7,0.0
8.3,25.0,3.8,0.0
7.2,26.0,3.9,0.0
7.4,26.0,3.0,0.0
8.9,27.0,3.0,0.0
9.0,28.0,3.3,0.0
7.0,30.0,4.0,1.0
7.4,31.0,3.0,1.0
7.3,25.0,2.0,1.0
7.5,27.0,1.0,1.0
7.2,28.0,5.0,1.0
6.5,30.0,3.8,1.0
6.8,29.0,3.7,1.0
8.5,27.0,2.5,1.0
9.0,28.0,3.5,1.0
7.1,23.0,4.06,2.0
7.2,24.0,4.07,2.0
7.3,25.0,4.08,2.0
7.4,26.0,4.09,2.0
7.5,27.0,5.0,2.0
7.6,28.0,5.01,2.0
7.7,29.0,5.02,2.0
7.8,30.0,5.03,2.0
7.9,31.0,5.04,2.0
8.0,32.0,5.05,2.0
8.1,33.0,5.06,2.0
8.2,34.0,5.07,2.0
8.3,35.0,5.08,2.0
7.67,17.62,3.56,0.0
8.39,17.5,3.56,0.0
8.24,17.56,3.55,0.0
8.26,17.75,3.55,0.0
8.23,17.56,3.55,0.0
8.31,17.69,3.56,0.0
8.38,17.69,3.56,0.0
7.84,17.56,3.57,0.0
6.7,17.5,3.56,0.0
6.02,17.62,3.57,0.0
8.16,17.62,3.55,0.0
8.23,17.56,3.55,0.0
7.96,17.62,3.56,0.0
7.79,17.75,3.56,0.0
7.88,17.75,3.55,0.0
7.84,17.69,3.55,0.0
8.18,17.69,3.56,0.0
8.16,17.75,3.56,0.0
8.32,17.56,3.56,0.0
8.23,17.56,3.56,0.0
8.65,17.75,3.44,0.0
8.66,17.87,3.45,0.0
8.74,17.94,3.41,0.0
8.57,17.87,3.46,0.0
8.62,17.81,3.47,1.0
8.69,17.94,3.48,1.0
8.73,17.81,3.45,1.0
8.63,17.94,3.46,1.0
8.66,17.94,3.44,1.0
8.75,18.0,3.47,1.0
8.77,17.94,3.47,1.0
8.78,18.0,3.48,1.0
8.81,17.94,3.43,1.0
8.79,18.0,3.46,1.0
8.87,18.0,3.46,1.0
8.8,17.81,3.48,1.0
8.78,17.87,3.48,1.0
8.8,18.0,3.49,1.0
8.79,17.94,3.5,0.0
8.79,17.94,3.5,0.0
6.02,21.0,3.48,2.0
6.01,21.0,3.49,2.0
6.0,21.0,3.48,2.0
6.09,21.06,3.48,2.0
6.93,21.0,3.47,2.0
6.42,20.94,3.47,2.0
6.48,21.0,3.46,2.0
7.0,21.0,3.46,2.0
7.27,21.06,3.45,2.0
7.24,21.0,3.44,2.0
7.11,21.06,3.45,2.0
7.6,20.94,3.45,2.0
7.83,20.87,3.43,2.0
7.75,21.06,3.41,2.0
7.5,20.87,3.37,2.0
7.07,20.87,3.36,2.0
6.99,21.06,3.35,2.0
6.87,21.06,3.33,2.0
6.68,21.0,3.32,2.0
6.95,21.06,3.31,2.0
7.67,17.62,3.56,0.0
8.39,17.5,3.56,0.0
8.24,17.56,3.55,0.0
8.26,17.75,3.55,0.0
8.23,17.56,3.55,0.0
8.31,17.69,3.56,0.0
8.38,17.69,3.56,0.0
7.84,17.56,3.57,0.0
6.7,17.5,3.56,0.0
6.02,17.62,3.57,0.0
8.16,17.62,3.55,0.0
8.23,17.56,3.55,0.0
7.96,17.62,3.56,0.0
7.79,17.75,3.56,0.0
7.88,17.75,3.55,0.0
7.84,17.69,3.55,0.0
8.18,17.69,3.56,0.0
8.16,17.75,3.56,0.0
8.32,17.56,3.56,0.0
8.23,17.56,3.56,0.0
8.65,17.75,3.44,0.0
8.66,17.87,3.45,0.0
8.74,17.94,3.41,0.0
8.57,17.87,3.46,0.0
8.62,17.81,3.47,1.0
8.69,17.94,3.48,1.0
8.73,17.81,3.45,1.0
8.63,17.94,3.46,1.0
8.66,17.94,3.44,1.0
8.75,18.0,3.47,1.0
8.77,17.94,3.47,1.0
8.78,18.0,3.48,1.0
8.81,17.94,3.43,1.0
8.79,18.0,3.46,1.0
8.87,18.0,3.46,1.0
8.8,17.81,3.48,1.0
8.78,17.87,3.48,1.0
8.8,18.0,3.49,1.0
8.79,17.94,3.5,0.0
8.79,17.94,3.5,0.0
6.02,21.0,3.48,2.0
6.01,21.0,3.49,2.0
6.0,21.0,3.48,2.0
6.09,21.06,3.48,2.0
6.93,21.0,3.47,2.0
6.42,20.94,3.47,2.0
6.48,21.0,3.46,2.0
7.0,21.0,3.46,2.0
7.27,21.06,3.45,2.0
7.24,21.0,3.44,2.0
7.11,21.06,3.45,2.0
7.6,20.94,3.45,2.0
7.83,20.87,3.43,2.0
7.75,21.06,3.41,2.0
7.5,20.87,3.37,2.0
7.07,20.87,3.36,2.0
6.99,21.06,3.35,2.0
6.87,21.06,3.33,2.0
6.68,21.0,3.32,2.0
6.95,21.06,3.31,2.0
7.67,17.62,3.56,0.0
8.39,17.5,3.56,0.0
8.24,17.56,3.55,0.0
8.26,17.75,3.55,0.0
8.23,17.56,3.55,0.0
8.31,17.69,3.56,0.0
8.38,17.69,3.56,0.0
7.84,17.56,3.57,0.0
6.7,17.5,3.56,0.0
6.02,17.62,3.57,0.0
8.16,17.62,3.55,0.0
8.23,17.56,3.55,0.0
7.96,17.62,3.56,0.0
7.79,17.75,3.56,0.0
7.88,17.75,3.55,0.0
7.84,17.69,3.55,0.0
8.18,17.69,3.56,0.0
8.16,17.75,3.56,0.0
8.32,17.56,3.56,0.0
8.23,17.56,3.56,0.0
8.65,17.75,3.44,0.0
8.66,17.87,3.45,0.0
8.74,17.94,3.41,0.0
8.57,17.87,3.46,0.0
8.62,17.81,3.47,1.0
8.69,17.94,3.48,1.0
8.73,17.81,3.45,1.0
8.63,17.94,3.46,1.0
8.66,17.94,3.44,1.0
8.75,18.0,3.47,1.0
8.77,17.94,3.47,1.0
8.78,18.0,3.48,1.0
8.81,17.94,3.43,1.0
8.79,18.0,3.46,1.0
8.87,18.0,3.46,1.0
8.8,17.81,3.48,1.0
8.78,17.87,3.48,1.0
8.8,18.0,3.49,1.0
8.79,17.94,3.5,0.0
8.79,17.94,3.5,0.0
6.02,21.0,3.48,2.0
6.01,21.0,3.49,2.0
6.0,21.0,3.48,2.0
6.09,21.06,3.48,2.0
6.93,21.0,3.47,2.0
6.42,20.94,3.47,2.0
6.48,21.0,3.46,2.0
7.0,21.0,3.46,2.0
7.27,21.06,3.45,2.0
7.24,21.0,3.44,2.0
7.11,21.06,3.45,2.0
7.6,20.94,3.45,2.0
7.83,20.87,3.43,2.0
7.75,21.06,3.41,2.0
7.5,20.87,3.37,2.0
7.07,20.87,3.36,2.0
6.99,21.06,3.35,2.0
6.87,21.06,3.33,2.0
6.68,21.0,3.32,2.0
6.95,21.06,3.31,2.0
7.67,17.62,3.56,0.0
8.39,17.5,3.56,0.0
8.24,17.56,3.55,0.0
8.26,17.75,3.55,0.0
8.23,17.56,3.55,0.0
8.31,17.69,3.56,0.0
8.38,17.69,3.56,0.0
7.84,17.56,3.57,0.0
6.7,17.5,3.56,0.0
6.02,17.62,3.57,0.0
8.16,17.62,3.55,0.0
8.23,17.56,3.55,0.0
7.96,17.62,3.56,0.0
7.79,17.75,3.56,0.0
7.88,17.75,3.55,0.0
7.84,17.69,3.55,0.0
8.18,17.69,3.56,0.0
8.16,17.75,3.56,0.0
8.32,17.56,3.56,0.0
8.23,17.56,3.56,0.0
8.65,17.75,3.44,0.0
8.66,17.87,3.45,0.0
8.74,17.94,3.41,0.0
8.57,17.87,3.46,0.0
8.62,17.81,3.47,1.0
8.69,17.94,3.48,1.0
8.73,17.81,3.45,1.0
8.63,17.94,3.46,1.0
8.66,17.94,3.44,1.0
8.75,18.0,3.47,1.0
8.77,17.94,3.47,1.0
8.78,18.0,3.48,1.0
8.81,17.94,3.43,1.0
8.79,18.0,3.46,1.0
8.87,18.0,3.46,1.0
8.8,17.81,3.48,1.0
8.78,17.87,3.48,1.0
8.8,18.0,3.49,1.0
8.79,17.94,3.5,0.0
8.79,17.94,3.5,0.0
6.02,21.0,3.48,2.0
6.01,21.0,3.49,2.0
6.0,21.0,3.48,2.0
6.09,21.06,3.48,2.0
6.93,21.0,3.47,2.0
6.42,20.94,3.47,2.0
6.48,21.0,3.46,2.0
7.0,21.0,3.46,2.0
7.27,21.06,3.45,2.0
7.24,21.0,3.44,2.0
7.11,21.06,3.45,2.0
7.6,20.94,3.45,2.0
7.83,20.87,3.43,2.0
7.75,21.06,3.41,2.0
7.5,20.87,3.37,2.0
7.07,20.87,3.36,2.0
6.99,21.06,3.35,2.0
6.87,21.06,3.33,2.0
6.68,21.0,3.32,2.0
6.95,21.06,3.31,2.0
